<START>
,
,,
,,,<BODY>
,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,,<MAIN_BODY>
,,,,,,,,,,,,,<MAIN_PROGRAM>
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,<MAIN_PROGRAM>
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,<MAIN_PROGRAM>
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,<FOR_LOOP>,,
,,,,,,,,,,,,,,,,,,,,,,,<FOR_HEADER>,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,<FOR_REST>,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,<RIGHT_FOR>,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,<LOOP_REST>,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<MAIN_BODY_INSIDE> | <MAIN_BODY_LOOP>,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<MAIN_PROGRAM_INSIDE>,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,<VAR>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,<VAR_BODY>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,<MORE_VAR>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<MAIN_PROGRAM_INSIDE>,,
,,,,,,<VAR_BODY>,,,,,,,,,,,,,,,,,,,,,,,,<ASSIGNMENT>,,,,,,,,,
,,,,,,,<MORE_VAR>,,,,,,,,,,<INPUT_OUTPUT>,,,,,,,,,,,,,<LEFT_FOR>,<REST_ASSIGNMENT>,,,,,<INPUT_OUTPUT>,,,,
,,,,,,,,<VAR_BODY>,,,,,<ASSIGNMENT>,,,,,<PARAM_IN> | <PARAM_OUT>,,,,,,,,,,,,,<R_H_LEFT_FOR>,<RIGHTHAND_ASSIGNMENT>,,,,,<PARAM_IN> | <PARAM_OUT>,,,,
<PROG_HEADER>,,,,,,,,,<TYPE_DECL>,,,,<LEFT_FOR>,<REST_ASSIGNMENT>,,,,,<PARAM_IN_REST> | <PARAM_OUT_REST>,,,,<LEFT_FOR>,,,,,,,<LEFT_FOR>,,<LEFT_COND_EXPRESSION> | <EXPRESSION> | <RIGHT_EXPR>,,,,,,<PARAM_IN_REST> | <PARAM_OUT_REST>,,,,
